"Label (Grouping)","Hawaii!!Occupied housing units!!Estimate","Hawaii!!Occupied housing units!!Margin of Error","Hawaii!!Owner-occupied housing units!!Estimate","Hawaii!!Owner-occupied housing units!!Margin of Error","Hawaii!!Renter-occupied housing units!!Estimate","Hawaii!!Renter-occupied housing units!!Margin of Error","Hawaii County, Hawaii!!Occupied housing units!!Estimate","Hawaii County, Hawaii!!Occupied housing units!!Margin of Error","Hawaii County, Hawaii!!Owner-occupied housing units!!Estimate","Hawaii County, Hawaii!!Owner-occupied housing units!!Margin of Error","Hawaii County, Hawaii!!Renter-occupied housing units!!Estimate","Hawaii County, Hawaii!!Renter-occupied housing units!!Margin of Error","Honolulu County, Hawaii!!Occupied housing units!!Estimate","Honolulu County, Hawaii!!Occupied housing units!!Margin of Error","Honolulu County, Hawaii!!Owner-occupied housing units!!Estimate","Honolulu County, Hawaii!!Owner-occupied housing units!!Margin of Error","Honolulu County, Hawaii!!Renter-occupied housing units!!Estimate","Honolulu County, Hawaii!!Renter-occupied housing units!!Margin of Error","Kauai County, Hawaii!!Occupied housing units!!Estimate","Kauai County, Hawaii!!Occupied housing units!!Margin of Error","Kauai County, Hawaii!!Owner-occupied housing units!!Estimate","Kauai County, Hawaii!!Owner-occupied housing units!!Margin of Error","Kauai County, Hawaii!!Renter-occupied housing units!!Estimate","Kauai County, Hawaii!!Renter-occupied housing units!!Margin of Error","Maui County, Hawaii!!Occupied housing units!!Estimate","Maui County, Hawaii!!Occupied housing units!!Margin of Error","Maui County, Hawaii!!Owner-occupied housing units!!Estimate","Maui County, Hawaii!!Owner-occupied housing units!!Margin of Error","Maui County, Hawaii!!Renter-occupied housing units!!Estimate","Maui County, Hawaii!!Renter-occupied housing units!!Margin of Error"
"    $75,000 to $99,999","14.9%","±0.8","15.9%","±0.9","13.5%","±1.3","12.6%","±2.0","13.4%","±2.4","11.1%","±3.7","15.4%","±1.1","16.6%","±1.2","13.9%","±1.5","15.4%","±3.2","17.0%","±4.2","12.4%","±4.4","14.6%","±2.1","15.2%","±2.8","13.9%","±3.2"
"    $100,000 to $149,999","17.0%","±0.7","22.3%","±1.0","10.1%","±1.0","13.8%","±1.8","16.6%","±2.6","8.2%","±2.9","18.1%","±0.8","24.3%","±1.2","10.8%","±1.2","15.8%","±3.4","17.7%","±4.2","12.2%","±6.4","15.2%","±2.2","21.7%","±3.4","6.5%","±2.8"
"    $150,000 or more","12.1%","±0.6","17.5%","±0.9","5.0%","±0.8","6.8%","±1.5","9.5%","±2.2","1.4%","±1.3","14.0%","±0.7","20.9%","±1.0","5.9%","±1.1","7.6%","±1.9","10.9%","±2.9","1.7%","±1.5","9.4%","±1.7","13.7%","±2.5","3.8%","±1.4"
"    Median household income (dollars)","66,259","±1,628","83,364","±2,311","48,354","±1,449","50,285","±2,993","60,487","±3,717","30,592","±3,988","71,404","±1,593","93,248","±2,264","51,041","±1,708","59,238","±5,813","70,382","±7,903","47,296","±8,719","61,207","±3,554","75,704","±5,213","45,439","±4,808"
"MONTHLY HOUSING COSTS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Less than $100","0.4%","±0.2","0.6%","±0.3","0.2%","±0.1","1.9%","±1.1","2.7%","±1.6","0.2%","±0.3","0.2%","±0.1","0.2%","±0.1","0.2%","±0.2","0.5%","±0.5","0.2%","±0.3","1.1%","±1.3","0.1%","±0.2","0.2%","±0.3","0.0%","±0.6"
"    $100 to $199","1.4%","±0.2","1.8%","±0.3","1.0%","±0.3","3.8%","±1.0","4.9%","±1.5","1.7%","±1.2","0.7%","±0.2","0.6%","±0.2","0.9%","±0.3","2.0%","±1.0","2.3%","±1.4","1.5%","±1.4","2.4%","±0.9","3.4%","±1.4","1.1%","±1.0"
"    $200 to $299","2.8%","±0.4","3.7%","±0.6","1.6%","±0.4","6.3%","±1.6","8.2%","±2.3","2.7%","±1.5","1.9%","±0.3","2.1%","±0.4","1.6%","±0.4","4.3%","±1.6","5.9%","±2.3","1.4%","±1.7","3.3%","±1.2","5.1%","±2.1","1.0%","±0.7"
"    $300 to $399","3.6%","±0.3","5.3%","±0.6","1.5%","±0.4","7.4%","±1.7","9.6%","±2.3","2.9%","±2.5","2.7%","±0.4","3.9%","±0.6","1.2%","±0.3","4.2%","±1.6","4.8%","±2.3","3.0%","±2.2","4.4%","±1.4","6.7%","±2.2","1.4%","±1.4"
"    $400 to $499","3.5%","±0.4","4.9%","±0.6","1.6%","±0.4","3.5%","±1.3","4.4%","±1.7","1.7%","±1.3","3.3%","±0.4","4.7%","±0.7","1.6%","±0.5","5.3%","±1.8","6.7%","±2.6","2.7%","±2.1","3.6%","±1.1","5.3%","±1.7","1.5%","±1.2"
