"Label (Grouping)","Hawaii!!Occupied housing units!!Estimate","Hawaii!!Percent occupied housing units!!Estimate","Hawaii!!Owner-occupied housing units!!Estimate","Hawaii!!Percent owner-occupied housing units!!Estimate","Hawaii!!Renter-occupied housing units!!Estimate","Hawaii!!Percent renter-occupied housing units!!Estimate","Hawaii County, Hawaii!!Occupied housing units!!Estimate","Hawaii County, Hawaii!!Percent occupied housing units!!Estimate","Hawaii County, Hawaii!!Owner-occupied housing units!!Estimate","Hawaii County, Hawaii!!Percent owner-occupied housing units!!Estimate","Hawaii County, Hawaii!!Renter-occupied housing units!!Estimate","Hawaii County, Hawaii!!Percent renter-occupied housing units!!Estimate","Honolulu County, Hawaii!!Occupied housing units!!Estimate","Honolulu County, Hawaii!!Percent occupied housing units!!Estimate","Honolulu County, Hawaii!!Owner-occupied housing units!!Estimate","Honolulu County, Hawaii!!Percent owner-occupied housing units!!Estimate","Honolulu County, Hawaii!!Renter-occupied housing units!!Estimate","Honolulu County, Hawaii!!Percent renter-occupied housing units!!Estimate","Kauai County, Hawaii!!Occupied housing units!!Estimate","Kauai County, Hawaii!!Percent occupied housing units!!Estimate","Kauai County, Hawaii!!Owner-occupied housing units!!Estimate","Kauai County, Hawaii!!Percent owner-occupied housing units!!Estimate","Kauai County, Hawaii!!Renter-occupied housing units!!Estimate","Kauai County, Hawaii!!Percent renter-occupied housing units!!Estimate","Maui County, Hawaii!!Occupied housing units!!Estimate","Maui County, Hawaii!!Percent occupied housing units!!Estimate","Maui County, Hawaii!!Owner-occupied housing units!!Estimate","Maui County, Hawaii!!Percent owner-occupied housing units!!Estimate","Maui County, Hawaii!!Renter-occupied housing units!!Estimate","Maui County, Hawaii!!Percent renter-occupied housing units!!Estimate"
"    Less than $20,000","46,844","10.2%","17,770","6.6%","29,074","15.3%","10,335","15.0%","5,766","12.5%","4,569","20.3%","29,049","9.3%","8,884","5.0%","20,165","14.8%","2,297","10.0%","1,396","9.8%","901","10.2%","5,163","9.6%","1,724","5.5%","3,439","15.5%"
"        Less than 20 percent","2,905","0.6%","2,321","0.9%","584","0.3%","1,102","1.6%","1,070","2.3%","32","0.1%","1,266","0.4%","871","0.5%","395","0.3%","300","1.3%","262","1.8%","38","0.4%","237","0.4%","118","0.4%","119","0.5%"
"        20 to 29 percent","5,348","1.2%","1,933","0.7%","3,415","1.8%","1,451","2.1%","1,078","2.3%","373","1.7%","3,368","1.1%","744","0.4%","2,624","1.9%","44","0.2%","44","0.3%","0","0.0%","485","0.9%","67","0.2%","418","1.9%"
"        30 percent or more","38,591","8.4%","13,516","5.0%","25,075","13.2%","7,782","11.3%","3,618","7.8%","4,164","18.5%","24,415","7.8%","7,269","4.1%","17,146","12.6%","1,953","8.5%","1,090","7.7%","863","9.8%","4,441","8.3%","1,539","4.9%","2,902","13.0%"
"    $20,000 to $34,999","41,004","9.0%","18,215","6.8%","22,789","12.0%","7,794","11.3%","5,095","11.0%","2,699","12.0%","26,653","8.5%","10,290","5.8%","16,363","12.0%","2,387","10.4%","1,105","7.8%","1,282","14.6%","4,170","7.8%","1,725","5.5%","2,445","11.0%"
"        Less than 20 percent","6,185","1.4%","5,458","2.0%","727","0.4%","2,242","3.3%","2,159","4.7%","83","0.4%","2,963","0.9%","2,525","1.4%","438","0.3%","220","1.0%","192","1.4%","28","0.3%","760","1.4%","582","1.9%","178","0.8%"
"        20 to 29 percent","5,191","1.1%","3,264","1.2%","1,927","1.0%","1,575","2.3%","778","1.7%","797","3.5%","2,893","0.9%","2,152","1.2%","741","0.5%","316","1.4%","130","0.9%","186","2.1%","407","0.8%","204","0.7%","203","0.9%"
"        30 percent or more","29,628","6.5%","9,493","3.5%","20,135","10.6%","3,977","5.8%","2,158","4.7%","1,819","8.1%","20,797","6.7%","5,613","3.2%","15,184","11.1%","1,851","8.1%","783","5.5%","1,068","12.1%","3,003","5.6%","939","3.0%","2,064","9.3%"
"    $35,000 to $49,999","47,354","10.3%","23,821","8.9%","23,533","12.4%","8,628","12.5%","5,422","11.7%","3,206","14.2%","31,828","10.2%","14,884","8.4%","16,944","12.4%","1,740","7.6%","1,105","7.8%","635","7.2%","5,158","9.6%","2,410","7.7%","2,748","12.3%"
"        Less than 20 percent","10,889","2.4%","9,416","3.5%","1,473","0.8%","3,274","4.8%","2,750","5.9%","524","2.3%","6,264","2.0%","5,494","3.1%","770","0.6%","447","1.9%","328","2.3%","119","1.4%","904","1.7%","844","2.7%","60","0.3%"
