"Label (Grouping)","Hawaii!!Occupied housing units!!Estimate","Hawaii!!Occupied housing units!!Margin of Error","Hawaii!!Percent occupied housing units!!Estimate","Hawaii!!Percent occupied housing units!!Margin of Error","Hawaii!!Owner-occupied housing units!!Estimate","Hawaii!!Owner-occupied housing units!!Margin of Error","Hawaii!!Percent owner-occupied housing units!!Estimate","Hawaii!!Percent owner-occupied housing units!!Margin of Error","Hawaii!!Renter-occupied housing units!!Estimate","Hawaii!!Renter-occupied housing units!!Margin of Error","Hawaii!!Percent renter-occupied housing units!!Estimate","Hawaii!!Percent renter-occupied housing units!!Margin of Error","Hawaii County, Hawaii!!Occupied housing units!!Estimate","Hawaii County, Hawaii!!Occupied housing units!!Margin of Error","Hawaii County, Hawaii!!Percent occupied housing units!!Estimate","Hawaii County, Hawaii!!Percent occupied housing units!!Margin of Error","Hawaii County, Hawaii!!Owner-occupied housing units!!Estimate","Hawaii County, Hawaii!!Owner-occupied housing units!!Margin of Error","Hawaii County, Hawaii!!Percent owner-occupied housing units!!Estimate","Hawaii County, Hawaii!!Percent owner-occupied housing units!!Margin of Error","Hawaii County, Hawaii!!Renter-occupied housing units!!Estimate","Hawaii County, Hawaii!!Renter-occupied housing units!!Margin of Error","Hawaii County, Hawaii!!Percent renter-occupied housing units!!Estimate","Hawaii County, Hawaii!!Percent renter-occupied housing units!!Margin of Error","Honolulu County, Hawaii!!Occupied housing units!!Estimate","Honolulu County, Hawaii!!Occupied housing units!!Margin of Error","Honolulu County, Hawaii!!Percent occupied housing units!!Estimate","Honolulu County, Hawaii!!Percent occupied housing units!!Margin of Error","Honolulu County, Hawaii!!Owner-occupied housing units!!Estimate","Honolulu County, Hawaii!!Owner-occupied housing units!!Margin of Error","Honolulu County, Hawaii!!Percent owner-occupied housing units!!Estimate","Honolulu County, Hawaii!!Percent owner-occupied housing units!!Margin of Error","Honolulu County, Hawaii!!Renter-occupied housing units!!Estimate","Honolulu County, Hawaii!!Renter-occupied housing units!!Margin of Error","Honolulu County, Hawaii!!Percent renter-occupied housing units!!Estimate","Honolulu County, Hawaii!!Percent renter-occupied housing units!!Margin of Error","Kauai County, Hawaii!!Occupied housing units!!Estimate","Kauai County, Hawaii!!Occupied housing units!!Margin of Error","Kauai County, Hawaii!!Percent occupied housing units!!Estimate","Kauai County, Hawaii!!Percent occupied housing units!!Margin of Error","Kauai County, Hawaii!!Owner-occupied housing units!!Estimate","Kauai County, Hawaii!!Owner-occupied housing units!!Margin of Error","Kauai County, Hawaii!!Percent owner-occupied housing units!!Estimate","Kauai County, Hawaii!!Percent owner-occupied housing units!!Margin of Error","Kauai County, Hawaii!!Renter-occupied housing units!!Estimate","Kauai County, Hawaii!!Renter-occupied housing units!!Margin of Error","Kauai County, Hawaii!!Percent renter-occupied housing units!!Estimate","Kauai County, Hawaii!!Percent renter-occupied housing units!!Margin of Error","Maui County, Hawaii!!Occupied housing units!!Estimate","Maui County, Hawaii!!Occupied housing units!!Margin of Error","Maui County, Hawaii!!Percent occupied housing units!!Estimate","Maui County, Hawaii!!Percent occupied housing units!!Margin of Error","Maui County, Hawaii!!Owner-occupied housing units!!Estimate","Maui County, Hawaii!!Owner-occupied housing units!!Margin of Error","Maui County, Hawaii!!Percent owner-occupied housing units!!Estimate","Maui County, Hawaii!!Percent owner-occupied housing units!!Margin of Error","Maui County, Hawaii!!Renter-occupied housing units!!Estimate","Maui County, Hawaii!!Renter-occupied housing units!!Margin of Error","Maui County, Hawaii!!Percent renter-occupied housing units!!Estimate","Maui County, Hawaii!!Percent renter-occupied housing units!!Margin of Error"
"    $1,500 to $1,999","70,771","±3,822","15.4%","±0.8","33,687","±2,448","12.6%","±0.9","37,084","±2,755","19.5%","±1.4","9,849","±1,692","14.3%","±2.4","6,466","±1,344","14.0%","±2.8","3,383","±1,070","15.0%","±4.3","47,643","±2,892","15.2%","±0.9","21,112","±1,896","12.0%","±1.0","26,531","±2,570","19.5%","±1.8","4,010","±853","17.4%","±3.7","2,142","±596","15.1%","±4.2","N","N","N","N","9,269","±1,490","17.3%","±2.7","3,967","±926","12.7%","±2.8","5,302","±1,171","23.8%","±4.8"
"    $2,000 to $2,499","53,115","±2,985","11.6%","±0.6","30,725","±2,324","11.5%","±0.9","22,390","±2,273","11.8%","±1.2","4,514","±1,038","6.6%","±1.5","3,096","±825","6.7%","±1.7","1,418","±652","6.3%","±2.9","38,869","±2,755","12.4%","±0.8","21,069","±1,895","12.0%","±1.0","17,800","±2,127","13.1%","±1.5","2,507","±696","10.9%","±2.9","1,485","±491","10.5%","±3.5","N","N","N","N","7,225","±1,125","13.5%","±2.0","5,075","±975","16.2%","±3.0","2,150","±739","9.7%","±3.3"
"    $2,500 to $2,999","40,906","±2,746","8.9%","±0.6","26,133","±2,370","9.7%","±0.9","14,773","±1,650","7.8%","±0.8","2,552","±936","3.7%","±1.3","2,196","±819","4.7%","±1.8","356","±319","1.6%","±1.4","33,069","±2,355","10.6%","±0.8","20,025","±1,912","11.4%","±1.1","13,044","±1,529","9.6%","±1.1","1,674","±574","7.3%","±2.5","1,285","±516","9.1%","±3.5","N","N","N","N","3,611","±996","6.7%","±1.9","2,627","±694","8.4%","±2.2","984","±579","4.4%","±2.6"
"    $3,000 or more","70,448","±3,960","15.4%","±0.8","50,530","±3,429","18.8%","±1.2","19,918","±2,003","10.5%","±1.1","3,262","±874","4.7%","±1.3","3,183","±877","6.9%","±1.9","79","±66","0.4%","±0.3","57,665","±3,613","18.4%","±1.1","38,685","±2,866","21.9%","±1.5","18,980","±2,016","13.9%","±1.5","1,965","±679","8.6%","±2.9","1,706","±599","12.0%","±4.0","N","N","N","N","7,556","±1,288","14.1%","±2.4","6,956","±1,277","22.2%","±3.7","600","±366","2.7%","±1.6"
"    No cash rent","12,488","±1,698","2.7%","±0.4","(X)","(X)","(X)","(X)","12,488","±1,698","6.6%","±0.9","3,180","±837","4.6%","±1.2","(X)","(X)","(X)","(X)","3,180","±837","14.1%","±3.5","6,125","±1,079","2.0%","±0.3","(X)","(X)","(X)","(X)","6,125","±1,079","4.5%","±0.8","970","±444","4.2%","±1.9","(X)","(X)","(X)","(X)","N","N","N","N","2,169","±928","4.0%","±1.7","(X)","(X)","(X)","(X)","2,169","±928","9.7%","±3.9"
"    Median (dollars)","1,585","±30","1,585","±30","1,608","±54","1,608","±54","1,573","±36","1,573","±36","1,035","±75","1,035","±75","961","±149","961","±149","1,107","±80","1,107","±80","1,749","±42","1,749","±42","1,816","±62","1,816","±62","1,712","±41","1,712","±41","1,383","±152","1,383","±152","1,328","±296","1,328","±296","1,416","±141","1,416","±141","1,594","±80","1,594","±80","1,867","±170","1,867","±170","1,421","±79","1,421","±79"
"MONTHLY HOUSING COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Less than $20,000","46,844","±3,109","10.2%","±0.7","17,770","±1,996","6.6%","±0.7","29,074","±2,683","15.3%","±1.4","10,335","±1,547","15.0%","±2.2","5,766","±1,193","12.5%","±2.4","4,569","±1,120","20.3%","±4.4","29,049","±2,414","9.3%","±0.8","8,884","±1,248","5.0%","±0.7","20,165","±2,092","14.8%","±1.5","2,297","±645","10.0%","±2.8","1,396","±521","9.8%","±3.5","901","±375","10.2%","±4.3","5,163","±1,156","9.6%","±2.1","1,724","±556","5.5%","±1.8","3,439","±994","15.5%","±4.2"
"        Less than 20 percent","2,905","±740","0.6%","±0.2","2,321","±673","0.9%","±0.2","584","±258","0.3%","±0.1","1,102","±460","1.6%","±0.7","1,070","±466","2.3%","±1.0","32","±44","0.1%","±0.2","1,266","±462","0.4%","±0.1","871","±391","0.5%","±0.2","395","±209","0.3%","±0.2","300","±233","1.3%","±1.0","262","±222","1.8%","±1.5","38","±75","0.4%","±0.9","237","±176","0.4%","±0.3","118","±141","0.4%","±0.4","119","±149","0.5%","±0.7"
"        20 to 29 percent","5,348","±1,322","1.2%","±0.3","1,933","±728","0.7%","±0.3","3,415","±1,147","1.8%","±0.6","1,451","±731","2.1%","±1.1","1,078","±635","2.3%","±1.4","373","±449","1.7%","±2.0","3,368","±830","1.1%","±0.3","744","±277","0.4%","±0.2","2,624","±792","1.9%","±0.6","44","±71","0.2%","±0.3","44","±71","0.3%","±0.5","0","±187","0.0%","±1.6","485","±469","0.9%","±0.9","67","±78","0.2%","±0.2","418","±467","1.9%","±2.1"
