"Label (Grouping)","Hawaii!!Total!!Estimate","Hawaii!!Moved; within same county!!Estimate","Hawaii!!Moved; from different county, same state!!Estimate","Hawaii!!Moved; from different  state!!Estimate","Hawaii!!Moved; from abroad!!Estimate","Hawaii County, Hawaii!!Total!!Estimate","Hawaii County, Hawaii!!Moved; within same county!!Estimate","Hawaii County, Hawaii!!Moved; from different county, same state!!Estimate","Hawaii County, Hawaii!!Moved; from different  state!!Estimate","Hawaii County, Hawaii!!Moved; from abroad!!Estimate","Honolulu County, Hawaii!!Total!!Estimate","Honolulu County, Hawaii!!Moved; within same county!!Estimate","Honolulu County, Hawaii!!Moved; from different county, same state!!Estimate","Honolulu County, Hawaii!!Moved; from different  state!!Estimate","Honolulu County, Hawaii!!Moved; from abroad!!Estimate","Kauai County, Hawaii!!Total!!Estimate","Kauai County, Hawaii!!Moved; within same county!!Estimate","Kauai County, Hawaii!!Moved; from different county, same state!!Estimate","Kauai County, Hawaii!!Moved; from different  state!!Estimate","Kauai County, Hawaii!!Moved; from abroad!!Estimate","Maui County, Hawaii!!Total!!Estimate","Maui County, Hawaii!!Moved; within same county!!Estimate","Maui County, Hawaii!!Moved; from different county, same state!!Estimate","Maui County, Hawaii!!Moved; from different  state!!Estimate","Maui County, Hawaii!!Moved; from abroad!!Estimate"
"        $15,000 to $24,999","157,279","9.0%","0.9%","2.7%","0.8%","25,753","8.1%","1.9%","2.2%","0.1%","101,852","8.9%","0.4%","2.7%","1.0%","N","N","N","N","N","21,244","9.2%","1.9%","1.5%","0.6%"
"        $25,000 to $34,999","137,686","7.7%","0.7%","3.8%","1.2%","18,487","4.2%","1.5%","2.9%","0.0%","93,223","8.9%","0.2%","4.5%","1.3%","N","N","N","N","N","17,057","5.3%","1.1%","2.4%","0.6%"
"        $35,000 to $49,999","159,839","7.0%","0.4%","3.5%","0.2%","20,409","7.2%","1.5%","3.9%","0.1%","112,308","7.6%","0.2%","3.7%","0.3%","N","N","N","N","N","18,361","3.0%","0.6%","3.2%","0.0%"
"        $50,000 to $64,999","120,062","9.6%","0.4%","3.4%","0.3%","15,225","4.0%","0.5%","2.1%","0.2%","83,564","11.1%","0.0%","3.9%","0.4%","N","N","N","N","N","14,239","8.9%","1.8%","3.3%","0.0%"
"        $65,000 to $74,999","52,297","7.1%","0.8%","3.3%","1.0%","6,272","7.0%","5.1%","1.7%","0.0%","38,689","8.3%","0.0%","3.6%","1.3%","N","N","N","N","N","5,376","0.3%","1.9%","4.1%","0.7%"
"        $75,000 or more","180,653","6.7%","0.1%","3.8%","0.6%","20,216","8.3%","0.0%","5.3%","0.0%","132,664","6.7%","0.0%","3.8%","0.6%","N","N","N","N","N","20,912","4.0%","0.3%","3.7%","1.5%"
"        Median income (dollars)","34,531","32,279","21,436","33,579","25,410","29,602","28,666","26,979","35,595","12,051","36,007","33,603","18,215","34,982","22,398","32,116","29,647","32,762","15,375","30,789","32,283","24,638","20,864","36,440","80,055"
"POVERTY STATUS IN THE PAST 12 MONTHS","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Population 1 year and over for whom poverty status is determined","1,366,232","8.1%","0.6%","3.7%","0.9%","196,253","7.7%","1.3%","3.1%","0.3%","935,176","8.6%","0.3%","4.1%","1.1%","70,591","7.3%","1.3%","3.0%","0.8%","164,138","6.3%","1.5%","2.7%","0.5%"
"        Below 100 percent of the poverty level","119,431","12.6%","1.4%","2.9%","1.1%","31,264","13.0%","2.6%","0.5%","1.3%","72,022","12.7%","0.3%","3.9%","1.0%","4,518","3.2%","2.1%","3.5%","1.7%","11,622","14.6%","5.1%","2.3%","0.4%"
"        100 to 149 percent of the poverty level","79,706","9.5%","2.1%","3.9%","1.8%","14,081","10.7%","1.3%","3.8%","0.0%","48,546","11.5%","2.3%","2.1%","2.7%","7,661","0.5%","3.5%","15.3%","0.0%","9,418","4.4%","1.3%","3.4%","1.1%"
"        At or above 150 percent of the poverty level","1,167,095","7.6%","0.4%","3.8%","0.8%","150,908","6.3%","1.0%","3.5%","0.2%","814,608","8.0%","0.1%","4.3%","1.0%","58,412","8.5%","0.9%","1.3%","0.9%","143,098","5.8%","1.3%","2.7%","0.5%"
"HOUSING TENURE","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Population 1 year and over in housing units","1,359,958","8.0%","0.6%","3.8%","0.9%","196,220","7.6%","1.3%","3.1%","0.3%","930,052","8.5%","0.3%","4.2%","1.1%","70,460","7.3%","1.3%","3.0%","0.9%","163,157","5.8%","1.4%","2.7%","0.5%"
"        Householder lived in owner-occupied housing units","829,400","4.4%","0.3%","1.6%","0.4%","128,193","3.7%","0.7%","2.3%","0.5%","550,551","4.5%","0.1%","1.4%","0.3%","41,992","4.1%","0.7%","1.4%","1.0%","108,664","4.4%","0.7%","1.8%","0.7%"
"        Householder lived in renter-occupied housing units","530,558","13.6%","1.0%","7.2%","1.6%","68,027","14.8%","2.4%","4.8%","0.0%","379,501","14.2%","0.5%","8.1%","2.2%","28,468","12.1%","2.1%","5.3%","0.6%","54,493","8.5%","2.8%","4.6%","0.2%"
"PERCENT ALLOCATED","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Residence 1 year ago","9.1%","(X)","(X)","(X)","(X)","5.3%","(X)","(X)","(X)","(X)","10.0%","(X)","(X)","(X)","(X)","5.8%","(X)","(X)","(X)","(X)","10.4%","(X)","(X)","(X)","(X)"
