"Label (Grouping)","Hawaii!!Total!!Estimate","Hawaii!!Moved; within same county!!Estimate","Hawaii!!Moved; from different county, same state!!Estimate","Hawaii!!Moved; from different  state!!Estimate","Hawaii!!Moved; from abroad!!Estimate","Hawaii County, Hawaii!!Total!!Estimate","Hawaii County, Hawaii!!Moved; within same county!!Estimate","Hawaii County, Hawaii!!Moved; from different county, same state!!Estimate","Hawaii County, Hawaii!!Moved; from different  state!!Estimate","Hawaii County, Hawaii!!Moved; from abroad!!Estimate","Honolulu County, Hawaii!!Total!!Estimate","Honolulu County, Hawaii!!Moved; within same county!!Estimate","Honolulu County, Hawaii!!Moved; from different county, same state!!Estimate","Honolulu County, Hawaii!!Moved; from different  state!!Estimate","Honolulu County, Hawaii!!Moved; from abroad!!Estimate","Kauai County, Hawaii!!Total!!Estimate","Kauai County, Hawaii!!Moved; within same county!!Estimate","Kauai County, Hawaii!!Moved; from different county, same state!!Estimate","Kauai County, Hawaii!!Moved; from different  state!!Estimate","Kauai County, Hawaii!!Moved; from abroad!!Estimate","Maui County, Hawaii!!Total!!Estimate","Maui County, Hawaii!!Moved; within same county!!Estimate","Maui County, Hawaii!!Moved; from different county, same state!!Estimate","Maui County, Hawaii!!Moved; from different  state!!Estimate","Maui County, Hawaii!!Moved; from abroad!!Estimate"
"    $35,000 to $49,999","158,206","7.8%","0.2%","3.8%","0.6%","17,443","10.7%","0.2%","2.5%","0.1%","110,941","7.9%","0.1%","4.3%","0.7%","N","N","N","N","N","20,552","7.1%","0.5%","1.5%","0.6%"
"    $50,000 to $64,999","110,490","7.0%","0.4%","3.7%","0.7%","11,847","2.4%","0.0%","0.0%","0.6%","80,609","7.7%","0.3%","4.1%","0.8%","N","N","N","N","N","13,552","7.4%","1.1%","3.3%","0.6%"
"    $65,000 to $74,999","34,753","5.6%","0.2%","3.8%","0.4%","4,198","6.5%","0.0%","3.2%","0.0%","26,106","6.3%","0.3%","4.1%","0.5%","N","N","N","N","N","2,956","0.5%","0.0%","0.3%","0.0%"
"    $75,000 or more","105,897","7.2%","0.2%","2.6%","1.1%","7,909","6.1%","0.0%","1.9%","0.0%","84,456","7.1%","0.1%","2.4%","1.2%","N","N","N","N","N","10,446","8.6%","0.0%","4.5%","1.1%"
"Median income (dollars)","29,311","25,122","18,465","22,372","23,227","23,738","22,575","27,630","18,032","12,467","30,593","26,211","7,232","23,172","26,716","28,005","23,841","80,833","42,688","3,899","29,316","22,680","18,506","20,858","45,691"
"POVERTY STATUS IN THE PAST 12 MONTHS","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Population 1 year and over for whom poverty status is determined","1,321,801","8.3%","0.5%","3.8%","1.1%","181,850","7.0%","1.1%","2.2%","0.4%","920,877","8.3%","0.3%","4.2%","1.1%","N","N","N","N","N","152,610","11.7%","1.2%","3.3%","0.8%"
"    Below 100 percent of the poverty level","158,670","13.2%","0.5%","5.0%","3.3%","39,109","7.3%","0.4%","2.2%","0.5%","92,797","13.8%","0.5%","5.2%","3.0%","N","N","N","N","N","18,499","26.3%","1.0%","10.2%","2.0%"
"    100 to 149 percent of the poverty level","96,908","11.4%","0.3%","6.2%","0.7%","17,032","13.1%","0.3%","2.4%","0.0%","64,607","9.7%","0.2%","8.3%","0.8%","N","N","N","N","N","9,615","25.8%","1.2%","1.9%","1.3%"
"    At or above 150 percent of the poverty level","1,066,223","7.3%","0.5%","3.4%","0.8%","125,709","6.1%","1.4%","2.2%","0.4%","763,473","7.5%","0.3%","3.7%","0.9%","N","N","N","N","N","124,496","8.5%","1.2%","2.4%","0.6%"
"HOUSING TENURE","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Population 1 year and over in housing units","1,315,170","8.1%","0.5%","3.6%","1.1%","181,602","6.9%","1.1%","2.1%","0.4%","914,980","8.1%","0.3%","4.0%","1.1%","N","N","N","N","N","152,138","11.2%","1.2%","3.2%","0.8%"
"    Householder lived in owner-occupied housing units","797,112","4.1%","0.2%","1.1%","0.5%","122,266","2.7%","0.1%","1.1%","0.4%","538,235","4.6%","0.2%","1.2%","0.5%","N","N","N","N","N","97,306","3.7%","0.5%","1.2%","0.8%"
"    Householder lived in renter-occupied housing units","518,058","14.2%","0.9%","7.5%","2.0%","59,336","15.6%","3.1%","4.2%","0.4%","376,745","13.0%","0.4%","8.2%","2.1%","N","N","N","N","N","54,832","24.4%","2.3%","6.8%","0.9%"
"PERCENT IMPUTED","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Residence 1 year ago","4.7%","(X)","(X)","(X)","(X)","2.6%","(X)","(X)","(X)","(X)","5.2%","(X)","(X)","(X)","(X)","4.5%","(X)","(X)","(X)","(X)","4.6%","(X)","(X)","(X)","(X)"
